ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,category_id,category_name,keyword,source_id,model
2024-03-03,5.105483295331394,4.837370095334143,17.562528614916957,5.105483295331394,5.105483295331394,1.2940129190650438,1.2940129190650438,1.2940129190650438,1.745038002189263,1.745038002189263,1.745038002189263,-0.4510250831242192,-0.4510250831242192,-0.4510250831242192,0.0,0.0,0.0,11.71204463756099,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-03-10,5.108079387823714,4.497114148851588,16.843169755678154,5.108079387823714,5.108079387823714,1.088557606474418,1.088557606474418,1.088557606474418,1.745038002189263,1.745038002189263,1.745038002189263,-0.656480395714845,-0.656480395714845,-0.656480395714845,0.0,0.0,0.0,10.668518059914406,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-03-17,5.110675480316034,6.118919396473501,19.34292392386,5.110675480316034,5.110675480316034,1.5747107325033314,1.5747107325033314,1.5747107325033314,1.745038002189263,1.745038002189263,1.745038002189263,-0.1703272696859316,-0.1703272696859316,-0.1703272696859316,0.0,0.0,0.0,13.15851100951131,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-03-24,5.113271572808353,12.682364221808871,25.547237729107376,5.113271572808353,5.113271572808353,2.741344397482621,2.741344397482621,2.741344397482621,1.745038002189263,1.745038002189263,1.745038002189263,0.996306395293358,0.996306395293358,0.996306395293358,0.0,0.0,0.0,19.13050995173368,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-03-31,5.115867665300673,18.700321051310134,32.285765889284335,5.115867665300673,5.115867665300673,3.940876774800963,3.940876774800963,3.940876774800963,1.745038002189263,1.745038002189263,1.745038002189263,2.1958387726117,2.1958387726117,2.1958387726117,0.0,0.0,0.0,25.27687173043932,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-04-07,5.118463757792992,21.271642718700864,34.40063849145466,5.118463757792992,5.118463757792992,4.448534876906799,4.448534876906799,4.448534876906799,1.745038002189263,1.745038002189263,1.745038002189263,2.703496874717536,2.703496874717536,2.703496874717536,0.0,0.0,0.0,27.888128300518552,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-04-14,5.121059850285312,19.48113037683319,32.52223036175231,5.121059850285312,5.121059850285312,4.11792136800813,4.11792136800813,4.11792136800813,1.745038002189263,1.745038002189263,1.745038002189263,2.372883365818867,2.372883365818867,2.372883365818867,0.0,0.0,0.0,26.209181634623715,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-04-21,5.123655942777632,16.374101246468246,28.90563323552041,5.123655942777632,5.123655942777632,3.450181432029244,3.450181432029244,3.450181432029244,1.745038002189263,1.745038002189263,1.745038002189263,1.705143429839981,1.705143429839981,1.705143429839981,0.0,0.0,0.0,22.80119854065531,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-04-28,5.1262520352699505,13.860842356990876,27.15534996843941,5.1262520352699505,5.1262520352699505,3.0322722318085145,3.0322722318085145,3.0322722318085145,1.745038002189263,1.745038002189263,1.745038002189263,1.2872342296192516,1.2872342296192516,1.2872342296192516,0.0,0.0,0.0,20.670443735070904,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-05-05,5.128848125708196,14.158523446176126,27.087326001945076,5.128848125708196,5.128848125708196,2.9786620062353584,2.9786620062353584,2.9786620062353584,1.745038002189263,1.745038002189263,1.745038002189263,1.2336240040460953,1.2336240040460953,1.2336240040460953,0.0,0.0,0.0,20.40595317350663,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-05-12,5.131444216146442,13.599356344690136,26.44293672965262,5.131444216146442,5.131444216146442,2.957997982068928,2.957997982068928,2.957997982068928,1.745038002189263,1.745038002189263,1.745038002189263,1.212959979879665,1.212959979879665,1.212959979879665,0.0,0.0,0.0,20.31024585260689,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-05-19,5.134040306584688,12.103111888155658,25.168959865508914,5.134040306584688,5.134040306584688,2.689771890648692,2.689771890648692,2.689771890648692,1.745038002189263,1.745038002189263,1.745038002189263,0.9447338884594288,0.9447338884594288,0.9447338884594288,0.0,0.0,0.0,18.943437608693575,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
2024-05-26,5.136636397022933,10.205297812823513,23.226665204284956,5.136636397022933,5.136636397022933,2.2855473925439527,2.2855473925439527,2.2855473925439527,1.745038002189263,1.745038002189263,1.745038002189263,0.5405093903546898,0.5405093903546898,0.5405093903546898,0.0,0.0,0.0,16.87666232068506,clothing,Clothing & Accessories,running shoes,SRC-TRENDS-001,prophet
