ds,category_id,category_name,keyword,actual,predicted,forecast_error,forecast_error_abs,forecast_error_pct,rolling_mape_4w,uncertainty_tier,source_id,model
2026-04-12,health,Health & Personal Care,vitamins,77.0,61.97096039759847,15.029039602401532,15.029039602401532,19.51823324987212,12.588444557958193,standard,SRC-TRENDS-001,prophet
2026-04-19,health,Health & Personal Care,vitamins,75.0,62.26516064037951,12.734839359620487,12.734839359620487,16.979785812827316,15.708192169721519,standard,SRC-TRENDS-001,prophet
2026-04-26,health,Health & Personal Care,vitamins,77.0,62.81391535720163,14.18608464279837,14.18608464279837,18.423486549088796,17.679184900117274,standard,SRC-TRENDS-001,prophet
2026-05-03,health,Health & Personal Care,vitamins,81.0,62.145720351715006,18.854279648284994,18.854279648284994,23.276888454672832,19.549598516615266,standard,SRC-TRENDS-001,prophet
2026-05-10,health,Health & Personal Care,vitamins,82.0,60.28908750363944,21.710912496360557,21.710912496360557,26.476722556537265,21.289220843281548,standard,SRC-TRENDS-001,prophet
2026-05-17,health,Health & Personal Care,vitamins,80.0,58.66193811044348,21.33806188955652,21.33806188955652,26.67257736194565,23.712418730561133,standard,SRC-TRENDS-001,prophet
2026-05-24,health,Health & Personal Care,vitamins,71.0,58.35905501597051,12.640944984029488,12.640944984029488,17.804147864830266,23.557584059496502,standard,SRC-TRENDS-001,prophet
2026-05-31,health,Health & Personal Care,vitamins,69.0,59.01498384594274,9.985016154057263,9.985016154057263,14.471037904430816,21.356121421936,standard,SRC-TRENDS-001,prophet
2026-06-07,health,Health & Personal Care,vitamins,70.0,59.5171198286256,10.482880171374397,10.482880171374397,14.975543101963437,18.48082655829254,standard,SRC-TRENDS-001,prophet
2026-06-14,health,Health & Personal Care,vitamins,73.0,59.451389852534746,13.548610147465254,13.548610147465254,18.559739928034595,16.452617199814775,standard,SRC-TRENDS-001,prophet
2026-06-21,health,Health & Personal Care,vitamins,83.0,59.398311044744304,23.601688955255696,23.601688955255696,28.435769825609277,19.110522690009528,standard,SRC-TRENDS-001,prophet
2026-06-28,health,Health & Personal Care,vitamins,64.0,59.88981491458466,4.110185085415338,4.110185085415338,6.422164195961466,17.09830426289219,standard,SRC-TRENDS-001,prophet
2026-07-05,health,Health & Personal Care,vitamins,72.0,60.60509892122887,11.394901078771127,11.394901078771127,15.826251498293242,17.31098136197464,standard,SRC-TRENDS-001,prophet
2026-07-12,health,Health & Personal Care,vitamins,100.0,60.90515765216991,39.09484234783009,39.09484234783009,39.094842347830095,22.444756966923517,standard,SRC-TRENDS-001,prophet
2026-07-19,health,Health & Personal Care,vitamins,80.0,60.85958747937255,19.14041252062745,19.14041252062745,23.925515650784316,21.317193423217272,standard,SRC-TRENDS-001,prophet
2026-07-26,health,Health & Personal Care,vitamins,62.0,61.22220428620993,0.77779571379007,0.77779571379007,1.2545092157904354,20.025279678174517,standard,SRC-TRENDS-001,prophet
2026-08-02,health,Health & Personal Care,vitamins,58.0,62.31115932425912,-4.311159324259123,4.311159324259123,7.43303331768813,17.926975133023245,standard,SRC-TRENDS-001,prophet
